prompt_type,condition,auroc_vc_em,auroc_vc_em_ci_lower,auroc_vc_em_ci_upper,auroc_vc_em_n,auroc_sc_em,auroc_sc_em_ci_lower,auroc_sc_em_ci_upper,auroc_sc_em_n,auroc_judge_em,auroc_judge_em_ci_lower,auroc_judge_em_ci_upper,auroc_judge_em_n,auroc_vc_judge,auroc_vc_judge_ci_lower,auroc_vc_judge_ci_upper,auroc_vc_judge_n,auroc_sc_judge,auroc_sc_judge_ci_lower,auroc_sc_judge_ci_upper,auroc_sc_judge_n,auroc_vc_em_non_abstention,auroc_vc_em_non_abstention_ci_lower,auroc_vc_em_non_abstention_ci_upper,auroc_vc_em_non_abstention_n,auroc_sc_em_non_abstention,auroc_sc_em_non_abstention_ci_lower,auroc_sc_em_non_abstention_ci_upper,auroc_sc_em_non_abstention_n
constrained,full,0.6153,0.5441,0.7048,198,0.689,0.546,0.8201,198,0.5,0.5,0.5,198,,,,198,,,,198,0.6306,0.5592,0.722,189,0.7032,0.5689,0.8447,189
constrained,partial,0.7407,0.6658,0.8127,198,0.464,0.3611,0.5801,198,0.5278,0.5,0.591,198,0.7944,0.7386,0.8491,198,0.4061,0.3367,0.4772,198,0.8833,0.7081,1.0,23,0.7111,0.3838,0.9525,23
constrained,none,0.7868,0.7259,0.8418,198,0.5787,0.5128,0.6384,198,1.0,1.0,1.0,198,0.7868,0.7259,0.8418,198,0.5787,0.5128,0.6384,198,1.0,1.0,1.0,3,0.0,0.0,0.0,3
unconstrained,full,0.6195,0.5473,0.7046,198,0.5234,0.4121,0.6559,198,0.4915,0.4802,0.5,198,0.9684,0.9289,0.9975,198,0.7316,0.4264,0.9239,198,0.6412,0.5722,0.7196,192,0.5284,0.3987,0.658,192
unconstrained,partial,0.1728,0.0939,0.2576,198,0.7074,0.6329,0.7741,198,0.5818,0.5293,0.6381,198,0.144,0.0962,0.1995,198,0.8357,0.741,0.9123,198,0.7053,0.4964,0.8734,57,0.7096,0.5196,0.8616,57
unconstrained,none,0.4292,0.2881,0.5781,198,0.7116,0.6314,0.7839,198,0.5767,0.5053,0.6683,198,0.0297,0.0093,0.0556,198,0.8007,0.6926,0.8963,198,0.8545,0.6547,0.98,27,0.4364,0.0992,0.8056,27
