prompt_type,condition,auroc_vc_em,auroc_vc_em_ci_lower,auroc_vc_em_ci_upper,auroc_vc_em_n,auroc_sc_em,auroc_sc_em_ci_lower,auroc_sc_em_ci_upper,auroc_sc_em_n,auroc_judge_em,auroc_judge_em_ci_lower,auroc_judge_em_ci_upper,auroc_judge_em_n,auroc_vc_judge,auroc_vc_judge_ci_lower,auroc_vc_judge_ci_upper,auroc_vc_judge_n,auroc_sc_judge,auroc_sc_judge_ci_lower,auroc_sc_judge_ci_upper,auroc_sc_judge_n,auroc_vc_em_non_abstention,auroc_vc_em_non_abstention_ci_lower,auroc_vc_em_non_abstention_ci_upper,auroc_vc_em_non_abstention_n,auroc_sc_em_non_abstention,auroc_sc_em_non_abstention_ci_lower,auroc_sc_em_non_abstention_ci_upper,auroc_sc_em_non_abstention_n
constrained,full,0.5154,0.455,0.6243,198,0.4902,0.3641,0.6077,198,0.5,0.5,0.5,198,,,,198,,,,198,0.5383,0.4803,0.6487,190,0.4675,0.3395,0.6043,190
constrained,partial,0.0419,0.019,0.0686,198,0.9794,0.9582,0.994,198,0.539,0.4921,0.6403,198,0.3342,0.0863,0.5711,198,0.6964,0.4416,0.9594,198,0.7083,0.5714,0.8571,16,0.4583,0.1983,0.7524,16
constrained,none,0.0727,0.0332,0.1218,198,0.9949,0.9844,1.0,198,1.0,1.0,1.0,198,0.0727,0.0332,0.1218,198,0.9949,0.9844,1.0,198,0.75,0.5,1.0,4,0.5,0.0,1.0,4
unconstrained,full,0.6169,0.5184,0.7323,198,0.6193,0.4557,0.7681,198,0.5312,0.5,0.6001,198,0.9873,0.9695,1.0,198,0.9188,0.8776,0.9543,198,0.6203,0.526,0.7235,195,0.6213,0.4531,0.7737,195
unconstrained,partial,0.4131,0.3468,0.4852,198,0.626,0.5497,0.7061,198,0.5253,0.506,0.553,198,0.5142,0.2944,0.6494,198,0.7229,0.5773,0.9645,198,0.5018,0.2748,0.7176,86,0.3906,0.2317,0.5489,86
unconstrained,none,0.4923,0.4196,0.5621,198,0.6299,0.5162,0.742,198,0.5213,0.5,0.5568,198,0.7245,0.6635,0.7851,198,0.9566,0.9082,0.9949,198,0.4539,0.0204,0.7188,50,0.5532,0.3021,0.771,50
