prompt_type,condition,mean_verbalized_confidence_parsed,mean_verbalized_confidence_non_abstention,em_accuracy_pct,ece_all,ece_non_abstention,ece_parsed_only,ece_n_all,ece_n_non_abstention,ece_n_unparsed,overconfidence_gap
constrained,full,95.58,99.61,94.95,0.0932,0.055,0.0932,198,190,0,0.0063
constrained,partial,11.41,97.5,93.94,0.9424,0.725,0.9424,198,16,0,-0.8253
constrained,none,10.56,97.5,98.99,0.9035,0.475,0.9035,198,4,0,-0.8843
unconstrained,full,98.79,99.28,91.92,0.0798,0.0759,0.0798,198,195,0,0.0687
unconstrained,partial,67.98,81.86,60.1,0.5333,0.7372,0.5333,198,86,0,0.0788
unconstrained,none,75.0,80.8,76.26,0.3914,0.788,0.3914,198,50,0,-0.0126
